code,name,category_path,unit,first_date,last_date,n_observations,n_quoted
859,- d.o.c.,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > LUGANA (quotazione base per litro),EUR/L,2021-09-20,2022-11-28,79,78
860,- pinot grigio,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > DOC DELLE VENEZIE (quotazione base per litro),EUR/L,2021-09-20,2022-10-31,73,72
861,- bianco,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > DOC DELLE VENEZIE (quotazione base per litro),EUR/L,2021-09-20,2022-10-31,73,72
862,- merlot,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > VINI I.G.T. Verona (quotazione base per 1 grado/100 litri),EUR/grado-hL,2021-09-20,2022-11-28,76,69
863,- durello (prezzo E/litro),Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > VINI I.G.T. Verona (quotazione base per 1 grado/100 litri),EUR/L,2021-09-20,2022-10-31,70,63
864,- pinot bianco (gr. 12 prezzo E/litro),VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > VINI I.G.T. Verona (quotazione base per 1 grado/100 litri),EUR/L,2021-09-20,2021-11-15,8,0
865,- bianco veronese gr. 10/13,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > VINI I.G.T. Verona (quotazione base per 1 grado/100 litri),EUR/grado-hL,2021-09-20,2022-10-31,72,70
866,- chardonnay (gr. 12 prezzo E/litro),Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > VINI I.G.T. Verona (quotazione base per 1 grado/100 litri),EUR/L,2021-09-20,2022-10-31,70,64
867,- rosso veronese gr. 10/12,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > VINI I.G.T. Verona (quotazione base per 1 grado/100 litri),EUR/grado-hL,2021-09-20,2022-11-28,76,69
868,- rosso,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > VINO DA TAVOLA (quotazione base per 1 grado/100 litri),EUR/grado-hL,2021-09-20,2022-10-17,50,0
